JEON Ji-Soo POSITION,JEON Ji-Soo LAP TIME,JEON Ji-Soo ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,KIM Juyoung POSITION,KIM Juyoung LAP TIME,KIM Juyoung ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME
1,10.84,10.84,3,11.14,11.14,2,10.99,10.99,4,11.25,11.25,6,11.50,11.50,5,11.49,11.49
1,18.08,28.92,3,18.13,29.27,2,18.09,29.08,4,18.18,29.43,5,18.26,29.76,6,18.48,29.97
1,17.36,46.28,3,17.46,46.73,2,17.41,46.49,4,17.45,46.88,5,17.36,47.12,6,17.29,47.26
4,15.39,1:01.67,5,15.06,1:01.79,3,14.98,1:01.47,1,14.44,1:01.32,2,14.21,1:01.33,6,14.63,1:01.89
4,11.96,1:13.63,5,11.98,1:13.77,3,12.04,1:13.51,2,12.04,1:13.36,1,11.97,1:13.30,6,11.97,1:13.86
5,11.99,1:25.62,4,11.73,1:25.50,1,11.46,1:24.97,3,12.12,1:25.48,2,12.05,1:25.35,6,11.86,1:25.72
5,10.39,1:36.01,4,10.43,1:35.93,2,10.52,1:35.49,1,9.88,1:35.36,3,10.35,1:35.70,6,10.39,1:36.11
5,9.62,1:45.63,4,9.63,1:45.56,2,9.61,1:45.10,1,9.63,1:44.99,3,9.64,1:45.34,6,9.64,1:45.75
5,9.60,1:55.23,4,9.54,1:55.10,1,9.56,1:54.66,2,9.88,1:54.87,3,9.58,1:54.92,6,9.58,1:55.33
6,9.27,2:04.50,4,9.32,2:04.42,1,9.34,2:04.00,2,9.39,2:04.26,3,9.36,2:04.28,5,9.16,2:04.49
4,9.38,2:13.88,3,9.38,2:13.80,1,9.21,2:13.21,6,22.40,2:26.66,2,9.29,2:13.57,5,9.47,2:13.96
4,9.24,2:23.12,3,9.20,2:23.00,1,9.22,2:22.43,6,23.51,2:50.17,2,9.28,2:22.85,5,9.34,2:23.30
3,9.38,2:32.50,5,9.51,2:32.51,1,9.41,2:31.84,6,13.36,3:03.53,2,9.44,2:32.29,4,9.21,2:32.51
3,9.82,2:42.314,0,,PEN,1,9.63,2:41.464,4,12.01,3:15.540,0,,PEN,2,9.43,2:41.934
