START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,9.52,9.52,5,9.89,9.89,3,9.70,9.70,4,9.76,9.76,1,9.36,9.36,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,1
2,13.35,22.87,5,13.50,23.39,3,13.29,22.99,4,13.35,23.11,1,13.34,22.70,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,1
2,12.78,35.65,5,12.78,36.17,4,12.89,35.88,3,12.71,35.82,1,12.93,35.63,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,1
1,11.81,47.46,4,11.62,47.79,3,11.89,47.77,5,12.09,47.91,2,12.00,47.63,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,1
3,10.98,58.44,1,10.34,58.13,4,10.86,58.63,5,11.10,59.01,2,10.70,58.33,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,1
1,10.59,1:09.03,2,10.99,1:09.12,4,10.74,1:09.37,5,10.63,1:09.64,3,10.88,1:09.21,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,1
2,10.60,1:19.63,3,10.62,1:19.74,4,10.62,1:19.99,5,10.54,1:20.18,1,10.34,1:19.55,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,1
1,10.55,1:30.18,3,10.58,1:30.32,4,10.64,1:30.63,5,10.68,1:30.86,2,10.66,1:30.21,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,1
1,10.30,1:40.48,2,10.25,1:40.57,4,10.74,1:41.37,5,10.88,1:41.74,3,10.52,1:40.73,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,1
1,9.97,1:50.45,3,10.15,1:50.72,4,10.84,1:52.21,5,11.15,1:52.89,2,9.86,1:50.59,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,1
1,9.86,2:00.31,3,9.74,2:00.46,4,11.36,2:03.57,5,11.57,2:04.46,2,9.81,2:00.40,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,1
1,9.74,2:10.05,3,9.80,2:10.26,4,11.82,2:15.39,5,11.60,2:16.06,2,9.75,2:10.15,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,1
1,9.49,2:19.54,3,9.41,2:19.67,4,11.82,2:27.21,5,11.39,2:27.45,2,9.49,2:19.64,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,1
1,9.43,2:28.967,3,9.99,2:29.660,4,11.54,2:38.746,5,11.54,2:38.989,2,9.42,2:29.052,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,1
