LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME
1,10.92,10.92,5,11.47,11.47,2,11.08,11.08,4,11.22,11.22,3,11.12,11.12
3,13.72,24.64,2,13.10,24.57,5,13.84,24.92,4,13.60,24.82,1,13.36,24.48
2,10.97,35.61,5,11.62,36.19,1,10.58,35.50,3,10.95,35.77,4,11.49,35.97
2,10.77,46.38,4,10.32,46.51,3,10.91,46.41,5,10.79,46.56,1,10.36,46.33
2,9.90,56.28,1,9.67,56.18,4,9.98,56.39,5,9.99,56.55,3,9.99,56.32
1,9.57,1:05.85,2,9.78,1:05.96,3,9.63,1:06.02,5,9.52,1:06.07,4,9.73,1:06.05
1,9.34,1:15.19,4,9.46,1:15.42,3,9.34,1:15.36,2,9.22,1:15.29,5,9.55,1:15.60
1,9.29,1:24.48,3,9.26,1:24.68,5,9.53,1:24.89,2,9.27,1:24.56,4,9.17,1:24.77
1,9.46,1:33.94,3,9.39,1:34.07,5,9.46,1:34.35,2,9.45,1:34.01,4,9.39,1:34.16
1,9.21,1:43.15,3,9.26,1:43.33,5,9.72,1:44.07,2,9.21,1:43.22,4,9.25,1:43.41
1,9.24,1:52.39,3,9.14,1:52.47,5,10.34,1:54.41,1,9.17,1:52.39,4,9.19,1:52.60
4,9.34,2:01.73,2,9.16,2:01.63,5,11.33,2:05.74,1,9.08,2:01.47,3,9.11,2:01.71
4,9.44,2:11.17,3,9.43,2:11.06,5,11.34,2:17.08,1,9.35,2:10.82,2,9.12,2:10.83
4,9.90,2:21.07,3,9.82,2:20.88,5,11.33,2:28.393,2,9.47,2:20.29,1,9.21,2:20.04
