Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,NIESCIER Karol POSITION,NIESCIER Karol LAP TIME,NIESCIER Karol ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
1,10.34,10.34,2,10.47,10.47,4,10.68,10.68,3,10.66,10.66,5,10.77,10.77,6,10.99,10.99
1,16.31,26.65,2,16.30,26.77,4,16.40,27.08,3,16.29,26.95,5,16.46,27.23,6,16.44,27.43
1,15.13,41.78,2,15.14,41.91,5,15.16,42.24,3,15.12,42.07,6,15.15,42.38,4,14.65,42.08
3,12.97,54.75,4,12.94,54.85,2,12.47,54.71,5,12.92,54.99,6,12.73,55.11,1,12.53,54.61
2,11.23,1:05.98,4,11.29,1:06.14,1,11.17,1:05.88,5,11.31,1:06.30,6,11.28,1:06.39,3,11.39,1:06.00
4,11.08,1:17.06,6,11.05,1:17.19,2,11.05,1:16.93,3,10.73,1:17.03,5,10.75,1:17.14,1,10.92,1:16.92
5,9.93,1:26.99,6,9.98,1:27.17,4,9.94,1:26.87,3,9.76,1:26.79,1,9.42,1:26.56,2,9.78,1:26.70
3,9.75,1:36.74,6,9.84,1:37.01,4,9.93,1:36.80,2,9.78,1:36.57,1,9.98,1:36.54,5,10.18,1:36.88
3,9.31,1:46.05,6,9.52,1:46.53,4,9.28,1:46.08,1,9.26,1:45.83,2,9.37,1:45.91,5,9.36,1:46.24
4,9.42,1:55.47,6,9.52,1:56.05,5,9.54,1:55.62,2,9.50,1:55.33,1,9.41,1:55.32,3,9.17,1:55.41
5,9.26,2:04.73,6,9.95,2:06.00,4,9.10,2:04.72,1,9.02,2:04.35,3,9.24,2:04.56,2,9.03,2:04.44
5,9.24,2:13.97,6,10.49,2:16.49,4,9.01,2:13.73,1,8.99,2:13.34,3,8.98,2:13.54,2,8.99,2:13.43
5,9.27,2:23.24,6,11.13,2:27.62,4,8.92,2:22.65,1,9.02,2:22.36,3,9.04,2:22.58,2,9.07,2:22.50
5,9.59,2:32.812,6,11.40,2:38.994,4,9.21,2:31.829,1,9.09,2:31.431,3,9.02,2:31.583,2,9.03,2:31.512
