KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,YIN Qi POSITION,YIN Qi LAP TIME,YIN Qi ELAPSED TIME,Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME
2,9.33,9.33,1,9.17,9.17,5,9.61,9.61,4,9.50,9.50,3,9.46,9.46,5,9.61,9.61
5,12.89,22.22,3,12.91,22.08,4,12.56,22.17,6,12.87,22.37,2,12.52,21.98,1,12.16,21.77
5,12.08,34.30,4,12.07,34.15,6,12.23,34.40,1,11.46,33.83,3,12.05,34.03,2,12.14,33.91
4,10.72,45.02,2,10.70,44.85,6,10.79,45.19,3,11.10,44.93,1,10.77,44.80,5,11.13,45.04
5,10.60,55.62,3,10.57,55.42,6,10.53,55.72,4,10.59,55.52,2,10.51,55.31,1,10.25,55.29
5,10.16,1:05.78,3,10.15,1:05.57,6,10.16,1:05.88,4,10.14,1:05.66,2,10.18,1:05.49,1,10.08,1:05.37
3,9.99,1:15.77,4,10.21,1:15.78,6,10.04,1:15.92,1,9.96,1:15.62,5,10.38,1:15.87,2,10.30,1:15.67
1,9.20,1:24.97,3,9.59,1:25.37,4,9.53,1:25.45,2,9.52,1:25.14,6,9.76,1:25.63,5,9.88,1:25.55
1,9.66,1:34.63,3,9.40,1:34.77,4,9.44,1:34.89,2,9.59,1:34.73,5,9.43,1:35.06,6,9.79,1:35.34
1,9.56,1:44.19,3,9.60,1:44.37,4,9.63,1:44.52,2,9.54,1:44.27,5,9.60,1:44.66,6,9.94,1:45.28
1,9.67,1:53.86,3,9.72,1:54.09,4,9.72,1:54.24,2,9.69,1:53.96,5,9.68,1:54.34,6,10.50,1:55.78
1,9.76,2:03.62,3,9.77,2:03.86,4,9.79,2:04.03,2,9.75,2:03.71,5,9.81,2:04.15,6,10.81,2:06.59
2,10.01,2:13.63,3,9.86,2:13.72,5,10.02,2:14.05,1,9.62,2:13.33,4,9.63,2:13.78,6,11.11,2:17.70
2,9.87,2:23.483,4,10.16,2:23.850,5,10.70,2:24.721,1,9.52,2:22.826,3,9.88,2:23.637,6,11.44,2:29.115
