Murray COCHRANE POSITION,Murray COCHRANE LAP TIME,Murray COCHRANE ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,XU Fu POSITION,XU Fu LAP TIME,XU Fu ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
2,11.25,11.25,1,11.05,11.05,6,12.13,12.13,5,11.94,11.94,4,11.77,11.77,3,11.59,11.59
2,14.23,25.48,1,14.26,25.31,4,13.67,25.80,6,13.99,25.93,3,13.84,25.61,4,14.21,25.80
4,11.90,37.38,3,11.97,37.28,1,11.22,37.02,6,11.78,37.71,2,11.56,37.17,5,11.81,37.61
4,11.12,48.50,3,11.10,48.38,1,11.15,48.17,5,10.85,48.56,2,11.12,48.29,6,11.13,48.74
4,11.01,59.51,3,11.06,59.44,1,11.02,59.19,5,11.02,59.58,2,11.04,59.33,6,10.89,59.63
4,10.45,1:09.96,3,10.39,1:09.83,2,10.54,1:09.73,5,10.48,1:10.06,1,10.34,1:09.67,6,10.68,1:10.31
4,10.42,1:20.38,3,10.44,1:20.27,2,10.47,1:20.20,5,10.46,1:20.52,1,10.45,1:20.12,6,10.33,1:20.64
5,10.15,1:30.53,3,10.00,1:30.27,1,9.91,1:30.11,4,9.90,1:30.42,2,10.03,1:30.15,6,10.02,1:30.66
5,9.16,1:39.69,2,9.18,1:39.45,3,9.43,1:39.54,3,9.12,1:39.54,1,9.28,1:39.43,6,9.16,1:39.82
6,9.15,1:48.84,1,8.84,1:48.29,5,9.20,1:48.74,2,8.90,1:48.44,3,9.14,1:48.57,4,8.85,1:48.67
6,8.93,1:57.77,1,8.82,1:57.11,5,8.92,1:57.66,2,8.78,1:57.22,3,8.88,1:57.45,4,8.89,1:57.56
6,8.89,2:06.66,1,8.89,2:06.00,5,8.92,2:06.58,2,8.87,2:06.09,4,9.02,2:06.47,3,8.78,2:06.34
6,9.16,2:15.82,1,9.08,2:15.08,5,9.18,2:15.76,2,9.06,2:15.15,4,9.20,2:15.67,3,9.24,2:15.58
6,20.96,2:36.731,1,9.35,2:24.416,5,10.07,2:25.802,2,9.42,2:24.547,3,,2:25.169,4,,2:25.178
