BELARUS POSITION,BELARUS LAP TIME,BELARUS ELAPSED TIME,NETHERLANDS POSITION,NETHERLANDS LAP TIME,NETHERLANDS ELAPSED TIME,UKRAINE POSITION,UKRAINE LAP TIME,UKRAINE ELAPSED TIME,ITALY POSITION,ITALY LAP TIME,ITALY ELAPSED TIME
4,13.19,13.19,1,12.66,12.66,3,13.04,13.04,2,12.80,12.80
4,9.74,22.93,1,9.93,22.59,3,9.77,22.81,2,9.87,22.67
4,9.94,32.87,1,9.80,32.39,3,9.94,32.75,2,9.86,32.53
4,9.63,42.50,1,9.45,41.84,3,9.62,42.37,2,9.46,41.99
4,9.66,52.16,1,9.31,51.15,3,9.71,52.08,2,9.30,51.29
3,9.95,1:02.11,1,9.39,1:00.54,4,10.21,1:02.29,2,9.38,1:00.67
3,9.98,1:12.09,1,9.35,1:09.89,4,9.85,1:12.14,2,9.42,1:10.09
3,9.53,1:21.62,1,9.62,1:19.51,4,9.68,1:21.82,2,9.50,1:19.59
3,9.54,1:31.16,1,9.68,1:29.19,4,9.61,1:31.43,2,9.68,1:29.27
3,9.75,1:40.91,1,9.39,1:38.58,4,9.67,1:41.10,2,9.47,1:38.74
3,9.41,1:50.32,1,9.36,1:47.94,4,10.07,1:51.17,2,9.32,1:48.06
3,10.09,2:00.41,1,9.48,1:57.42,4,9.95,2:01.12,2,9.51,1:57.57
3,9.95,2:10.36,1,9.50,2:06.92,4,10.13,2:11.25,2,9.53,2:07.10
3,9.68,2:20.04,1,9.52,2:16.44,4,10.07,2:21.32,2,9.46,2:16.56
3,9.84,2:29.88,1,9.46,2:25.90,4,9.93,2:31.25,2,9.52,2:26.08
3,10.11,2:39.99,1,9.52,2:35.42,4,9.88,2:41.13,2,11.45,2:37.53
3,9.82,2:49.81,1,9.62,2:45.04,4,10.05,2:51.18,2,9.93,2:47.46
3,9.95,2:59.76,1,9.63,2:54.67,4,10.19,3:01.37,2,9.55,2:57.01
3,10.20,3:09.96,1,9.54,3:04.21,4,10.18,3:11.55,2,9.34,3:06.35
3,9.79,3:19.75,1,9.55,3:13.76,4,10.19,3:21.74,2,9.33,3:15.68
3,9.71,3:29.46,1,9.46,3:23.22,4,10.19,3:31.93,2,9.79,3:25.47
3,9.95,3:39.41,1,9.43,3:32.65,4,10.14,3:42.07,2,9.73,3:35.20
3,9.89,3:49.30,1,9.56,3:42.21,4,10.27,3:52.34,2,9.75,3:44.95
3,10.05,3:59.35,1,9.77,3:51.98,4,10.10,4:02.44,2,9.68,3:54.63
3,10.35,4:09.70,1,9.43,4:01.41,4,10.15,4:12.59,2,10.10,4:04.73
3,10.00,4:19.70,1,9.50,4:10.91,4,10.23,4:22.82,2,9.73,4:14.46
3,10.13,4:29.810,1,9.50,4:20.41,4,10.46,4:33.254,2,9.48,4:23.94
