START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
2,12.69,12.69,3,12.80,12.80,1,12.55,12.55,4,12.89,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,10.07,22.76,3,10.04,22.84,1,10.11,22.66,4,10.10,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,9.78,32.54,3,9.77,32.61,1,9.81,32.47,4,9.74,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,9.93,42.47,3,9.96,42.57,1,9.90,42.37,4,9.94,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,9.84,52.31,4,9.98,52.55,1,9.81,52.18,3,9.74,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,10.01,1:02.32,4,9.88,1:02.43,1,10.04,1:02.22,3,9.99,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,9.87,1:12.19,4,9.95,1:12.38,1,9.87,1:12.09,3,9.90,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,9.93,1:22.12,4,9.94,1:22.32,1,9.93,1:22.02,3,9.87,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,10.14,1:32.26,4,10.19,1:32.51,1,10.20,1:32.22,3,10.25,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,9.95,1:42.21,3,9.74,1:42.25,1,9.91,1:42.13,3,9.83,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,9.78,1:51.99,4,10.37,1:52.62,1,9.76,1:51.89,3,9.94,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,9.65,2:01.64,4,9.40,2:02.02,1,9.67,2:01.56,3,9.61,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,9.47,2:11.11,4,9.35,2:11.37,1,9.47,2:11.03,3,9.42,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,9.50,2:20.61,4,9.51,2:20.88,1,9.54,2:20.57,3,9.56,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,9.80,2:30.41,4,9.70,2:30.58,1,9.74,2:30.31,3,9.70,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,9.57,2:39.98,4,9.53,2:40.11,1,9.34,2:39.65,3,9.60,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,9.26,2:49.24,3,9.19,2:49.30,1,9.48,2:49.13,4,9.23,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,9.05,2:58.29,4,9.23,2:58.53,1,9.12,2:58.25,3,9.14,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,9.29,3:07.58,4,9.25,3:07.78,1,9.22,3:07.47,3,9.23,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,9.22,3:16.80,4,9.26,3:17.04,1,9.32,3:16.79,3,9.26,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,9.53,3:26.33,3,9.37,3:26.41,1,9.50,3:26.29,4,9.57,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,9.28,3:35.61,4,9.42,3:35.83,1,8.89,3:35.18,3,9.18,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,9.21,3:44.82,4,9.20,3:45.03,1,9.55,3:44.73,3,9.22,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,8.91,3:53.73,4,8.90,3:53.93,1,8.96,3:53.69,3,8.94,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,9.02,4:02.75,4,9.01,4:02.94,1,8.85,4:02.54,3,8.98,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,8.80,4:11.55,4,8.82,4:11.76,1,8.94,4:11.48,3,8.82,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,9.07,4:20.62,4,9.02,4:20.78,1,9.06,4:20.54,3,9.06,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
4,9.09,4:29.71,3,8.92,4:29.70,1,9.02,4:29.56,2,8.93,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
4,9.26,4:38.97,3,9.15,4:38.85,1,8.89,4:38.45,2,8.98,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
3,8.53,4:47.50,4,8.78,4:47.63,1,8.91,4:47.36,2,8.81,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
3,9.06,4:56.56,4,9.00,4:56.63,1,8.98,4:56.34,2,9.02,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
3,8.86,5:05.42,4,8.97,5:05.60,1,8.95,5:05.29,2,8.93,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,8.92,5:14.34,4,8.85,5:14.45,1,8.98,5:14.27,3,8.98,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,8.87,5:23.21,4,9.03,5:23.48,1,8.77,5:23.04,3,9.09,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,8.67,5:31.88,4,8.87,5:32.35,1,8.65,5:31.69,3,8.70,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
2,8.36,5:40.24,4,8.73,5:41.08,1,8.40,5:40.09,3,8.63,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),5000mRelay,m,Semifinals,2
