Anastasia SURKOVA POSITION,Anastasia SURKOVA LAP TIME,Anastasia SURKOVA ELAPSED TIME,Miwako YAMAURA POSITION,Miwako YAMAURA LAP TIME,Miwako YAMAURA ELAPSED TIME,Gioya LANCEE POSITION,Gioya LANCEE LAP TIME,Gioya LANCEE ELAPSED TIME,CHARLES Alyson POSITION,CHARLES Alyson LAP TIME,CHARLES Alyson ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,Marina LUKANOVA POSITION,Marina LUKANOVA LAP TIME,Marina LUKANOVA ELAPSED TIME
5,10.24,10.24,3,10.12,10.12,1,9.79,9.79,2,9.96,9.96,4,10.21,,6,10.42,10.42
4,14.43,24.67,3,14.38,24.50,1,14.43,24.22,2,14.37,24.33,5,14.62,,6,14.56,24.98
4,13.67,38.34,3,13.69,38.19,1,13.70,37.92,2,13.72,38.05,5,13.68,,6,13.68,38.66
4,13.25,51.59,3,13.28,51.47,1,13.26,51.18,2,13.24,51.29,5,13.16,,6,13.18,51.84
4,13.13,1:04.72,3,13.13,1:04.60,1,13.15,1:04.33,2,13.14,1:04.43,5,13.19,,6,13.19,1:05.03
3,12.53,1:17.25,4,12.66,1:17.26,1,12.69,1:17.02,2,12.70,1:17.13,5,12.57,,6,12.59,1:17.62
3,10.77,1:28.02,4,10.82,1:28.08,2,10.87,1:27.89,1,10.65,1:27.78,5,10.73,,6,10.59,1:28.21
3,10.29,1:38.31,6,20.76,1:48.84,2,10.38,1:38.27,1,10.39,1:38.17,5,10.72,,4,10.46,1:38.67
3,10.14,1:48.45,6,11.67,2:00.51,2,10.06,1:48.33,1,10.04,1:48.21,5,10.21,,4,10.41,1:49.08
2,9.96,1:58.41,6,10.67,2:11.18,3,10.11,1:58.44,1,10.08,1:58.29,4,10.12,,5,10.76,1:59.84
2,10.04,2:08.45,6,10.55,2:21.73,3,10.15,2:08.59,1,10.07,2:08.36,4,10.30,,5,11.43,2:11.27
2,10.26,2:18.71,6,11.05,2:32.78,3,10.24,2:18.83,1,10.23,2:18.59,4,10.70,,5,11.82,2:23.09
2,10.36,2:29.07,6,11.64,2:44.42,3,10.35,2:29.18,1,10.38,2:28.97,4,11.31,,5,12.37,2:35.46
2,10.48,2:39.55,6,11.54,2:55.96,3,10.45,2:39.63,1,10.50,2:39.47,4,11.70,,5,13.02,2:48.48
