CANADA POSITION,CANADA LAP TIME,CANADA ELAPSED TIME,HUNGARY POSITION,HUNGARY LAP TIME,HUNGARY ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME
1,15.35,15.35,2,15.53,15.53,3,15.67,15.67,4,15.87,15.87
1,11.16,26.51,2,11.11,26.64,3,11.15,26.82,4,11.11,26.98
1,10.53,37.04,2,10.50,37.14,3,10.45,37.27,4,10.41,37.39
1,10.13,47.17,2,10.18,47.32,3,10.27,47.54,4,10.26,47.65
1,10.08,57.25,2,10.00,57.32,3,9.88,57.42,4,9.85,57.50
1,10.23,1:07.48,2,10.27,1:07.59,3,10.28,1:07.70,4,10.31,1:07.81
1,10.07,1:17.55,2,10.13,1:17.72,3,10.14,1:17.84,4,10.20,1:18.01
1,10.02,1:27.57,2,9.97,1:27.69,3,9.97,1:27.81,4,9.96,1:27.97
1,10.08,1:37.65,2,10.08,1:37.77,3,10.12,1:37.93,4,10.08,1:38.05
1,9.86,1:47.51,2,9.83,1:47.60,3,9.87,1:47.80,4,9.84,1:47.89
1,9.86,1:57.37,2,9.83,1:57.43,4,9.73,1:57.53,3,9.63,1:57.52
1,10.03,2:07.40,2,10.06,2:07.49,4,10.19,2:07.72,3,10.07,2:07.59
1,9.55,2:16.95,2,9.56,2:17.05,4,9.61,2:17.33,3,9.59,2:17.18
1,9.44,2:26.39,2,9.45,2:26.50,4,9.42,2:26.75,3,9.42,2:26.60
1,9.46,2:35.85,2,9.44,2:35.94,4,9.44,2:36.19,3,9.46,2:36.06
1,9.58,2:45.43,2,9.64,2:45.58,4,9.56,2:45.75,3,9.60,2:45.66
1,8.40,2:53.83,2,9.53,2:55.11,4,9.59,2:55.34,3,9.54,2:55.20
1,10.89,3:04.72,2,9.76,3:04.87,4,9.79,3:05.13,3,9.78,3:04.98
1,9.01,3:13.73,2,9.25,3:14.12,4,9.26,3:14.39,3,9.28,3:14.26
1,9.34,3:23.07,2,9.06,3:23.18,4,9.00,3:23.39,3,9.01,3:23.27
1,8.95,3:32.02,2,8.94,3:32.12,4,8.99,3:32.38,3,8.96,3:32.23
1,8.96,3:40.98,2,8.94,3:41.06,4,8.92,3:41.30,3,8.93,3:41.16
1,9.00,3:49.98,2,9.01,3:50.07,4,9.01,3:50.31,3,9.03,3:50.19
1,9.18,3:59.16,2,9.22,3:59.29,4,9.21,3:59.52,3,9.19,3:59.38
1,9.15,4:08.31,2,9.09,4:08.38,4,9.13,4:08.65,3,9.05,4:08.43
1,9.00,4:17.31,2,9.01,4:17.39,4,8.95,4:17.60,3,9.06,4:17.49
1,8.94,4:26.25,2,8.99,4:26.38,4,8.98,4:26.58,3,9.01,4:26.50
1,9.00,4:35.25,2,8.99,4:35.37,4,9.07,4:35.65,3,9.01,4:35.51
1,8.94,4:44.19,2,8.90,4:44.27,4,8.87,4:44.52,3,8.85,4:44.36
1,9.04,4:53.23,2,9.07,4:53.34,4,9.00,4:53.52,3,9.11,4:53.47
1,8.94,5:02.17,2,8.94,5:02.28,3,8.85,5:02.37,4,9.04,5:02.51
1,8.90,5:11.07,2,8.91,5:11.19,3,8.99,5:11.36,4,8.99,5:11.50
1,8.79,5:19.86,2,8.77,5:19.96,3,8.81,5:20.17,4,8.75,5:20.25
1,8.93,5:28.79,2,8.87,5:28.83,3,9.05,5:29.22,4,9.11,5:29.36
1,8.86,5:37.65,2,8.92,5:37.75,3,8.75,5:37.97,4,8.82,5:38.18
1,8.64,5:46.29,2,8.70,5:46.45,3,8.58,5:46.55,4,8.79,5:46.97
1,8.70,5:54.99,2,8.65,5:55.10,3,8.65,5:55.20,4,8.71,5:55.68
1,8.72,6:03.71,2,8.70,6:03.80,3,8.73,6:03.93,4,8.64,6:04.32
1,8.67,6:12.38,2,8.73,6:12.53,3,8.75,6:12.68,4,8.62,6:12.94
1,8.88,6:21.26,2,8.86,6:21.39,3,8.96,6:21.64,4,8.86,6:21.80
2,9.02,6:30.28,3,8.98,6:30.37,1,8.63,6:30.27,4,8.88,6:30.68
1,8.96,6:39.24,2,8.99,6:39.36,4,9.31,6:39.58,3,8.88,6:39.56
1,8.81,6:48.05,1,8.69,6:48.05,3,8.68,6:48.26,4,8.98,6:48.54
1,8.83,6:56.88,2,8.98,6:57.03,3,8.91,6:57.17,4,8.67,6:57.21
1,8.78,7:05.66,2,8.74,7:05.77,4,9.06,7:06.23,3,8.66,7:05.87
