Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME
5,11.50,11.50,7,11.63,11.63,6,11.62,11.62,2,11.10,11.10,3,11.20,11.20,4,11.32,11.32,1,11.01,11.01
6,15.69,27.19,7,15.69,27.32,4,15.19,26.81,1,15.12,26.22,3,15.39,26.59,5,15.63,26.95,2,15.36,26.37
6,14.14,41.33,7,14.14,41.46,4,14.05,40.86,1,14.20,40.42,2,13.86,40.45,5,14.06,41.01,3,14.17,40.54
6,12.23,53.56,7,12.20,53.66,4,12.36,53.22,1,12.42,52.84,2,12.48,52.93,5,12.35,53.36,3,12.45,52.99
6,11.19,1:04.75,7,11.19,1:04.85,4,11.21,1:04.43,2,11.41,1:04.25,3,11.40,1:04.33,1,10.74,1:04.10,5,11.45,1:04.44
6,10.31,1:15.06,7,10.31,1:15.16,5,10.43,1:14.86,2,10.41,1:14.66,3,10.46,1:14.79,1,10.41,1:14.51,4,10.36,1:14.80
6,10.53,1:25.59,7,10.51,1:25.67,5,10.66,1:25.52,1,10.46,1:25.12,4,10.50,1:25.29,2,10.69,1:25.20,3,10.46,1:25.26
4,9.67,1:35.26,6,9.68,1:35.35,7,9.92,1:35.44,2,9.90,1:35.02,1,9.51,1:34.80,3,9.92,1:35.12,5,10.08,1:35.34
4,9.46,1:44.72,5,9.48,1:44.83,7,9.62,1:45.06,2,9.57,1:44.59,1,9.64,1:44.44,3,9.56,1:44.68,6,9.63,1:44.97
2,9.32,1:54.04,5,9.39,1:54.22,7,9.32,1:54.38,2,9.45,1:54.04,1,9.49,1:53.93,4,9.48,1:54.16,6,9.34,1:54.31
2,9.28,2:03.32,5,9.45,2:03.67,6,9.36,2:03.74,3,9.46,2:03.50,1,9.30,2:03.23,4,9.43,2:03.59,7,9.59,2:03.90
1,9.40,2:12.72,5,9.49,2:13.16,6,9.50,2:13.24,3,9.49,2:12.99,2,9.50,2:12.73,4,9.50,2:13.09,7,9.61,2:13.51
1,9.51,2:22.23,5,9.56,2:22.72,6,9.59,2:22.83,3,9.54,2:22.53,2,9.69,2:22.42,4,9.55,2:22.64,7,9.84,2:23.35
1,9.77,2:31.982,6,,2:32.540,5,,2:32.529,3,9.70,2:32.219,2,9.73,2:32.135,4,9.66,2:32.288,7,10.39,2:33.723
