Aydin DJEMAL POSITION,Aydin DJEMAL LAP TIME,Aydin DJEMAL ELAPSED TIME,VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,Aliaksandr ARLOU POSITION,Aliaksandr ARLOU LAP TIME,Aliaksandr ARLOU ELAPSED TIME,Muhammet KARADENIZ POSITION,Muhammet KARADENIZ LAP TIME,Muhammet KARADENIZ ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME
2,10.08,10.08,1,9.92,9.92,6,10.95,10.95,4,10.48,10.48,3,10.34,10.34,5,10.71,10.71
3,13.93,24.01,1,13.98,23.90,6,13.52,24.47,2,13.50,23.98,4,13.81,24.15,5,13.59,24.30
3,11.90,35.91,2,11.93,35.83,6,12.30,36.77,1,11.77,35.75,4,12.01,36.16,5,12.00,36.30
3,11.88,47.79,1,11.81,47.64,6,11.56,48.33,2,12.00,47.75,4,11.85,48.01,5,11.85,48.15
2,11.73,59.52,1,11.75,59.39,6,11.79,1:00.12,3,11.90,59.65,4,11.80,59.81,5,11.78,59.93
3,11.84,1:11.36,1,11.84,1:11.23,6,11.95,1:12.07,2,11.69,1:11.34,5,12.01,1:11.82,4,11.61,1:11.54
3,10.68,1:22.04,1,10.61,1:21.84,6,10.50,1:22.57,2,10.54,1:21.88,5,10.58,1:22.40,4,10.65,1:22.19
3,9.75,1:31.79,2,9.86,1:31.70,5,9.44,1:32.01,1,9.67,1:31.55,6,9.74,1:32.14,4,9.70,1:31.89
3,9.76,1:41.55,2,9.77,1:41.47,5,9.82,1:41.83,1,9.81,1:41.36,6,9.80,1:41.94,4,9.81,1:41.70
3,9.52,1:51.07,2,9.56,1:51.03,5,9.60,1:51.43,1,9.41,1:50.77,6,9.59,1:51.53,4,9.56,1:51.26
2,9.19,2:00.26,3,9.68,2:00.71,4,9.30,2:00.73,1,9.34,2:00.11,5,9.47,2:01.00,6,9.92,2:01.18
1,9.36,2:09.62,5,10.27,2:10.98,3,9.08,2:09.81,2,9.54,2:09.65,4,9.67,2:10.67,6,9.95,2:11.13
1,9.65,2:19.27,5,10.44,2:21.42,2,9.51,2:19.32,3,9.76,2:19.41,4,9.84,2:20.51,6,10.47,2:21.60
2,9.87,2:29.14,5,10.51,2:31.910,1,9.68,2:29.00,3,9.99,2:29.391,4,10.12,2:30.618,6,10.45,2:32.039
