ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME
2,10.40,10.40,3,10.55,10.55,5,10.73,10.73,1,10.17,10.17,6,10.92,10.92,4,10.61,10.61
4,14.53,24.93,6,14.70,25.25,1,13.91,24.64,3,14.59,24.76,2,13.80,24.72,5,14.49,25.10
4,12.76,37.69,6,12.66,37.91,1,12.71,37.35,3,12.82,37.58,2,12.74,37.46,5,12.72,37.82
2,12.97,50.66,6,13.07,50.98,1,13.18,50.53,3,13.13,50.71,5,13.33,50.79,4,12.91,50.73
3,11.82,1:02.48,6,11.79,1:02.77,2,11.86,1:02.39,1,11.63,1:02.34,5,11.89,1:02.68,4,11.87,1:02.60
3,11.46,1:13.94,6,11.53,1:14.30,1,11.37,1:13.76,2,11.50,1:13.84,4,11.37,1:14.05,5,11.58,1:14.18
2,10.71,1:24.65,6,10.73,1:25.03,1,10.83,1:24.59,3,10.86,1:24.70,4,10.70,1:24.75,5,10.70,1:24.88
3,10.09,1:34.74,6,10.12,1:35.15,2,10.01,1:34.60,4,10.14,1:34.84,1,9.76,1:34.51,5,10.11,1:34.99
3,9.65,1:44.39,6,9.55,1:44.70,2,9.68,1:44.28,4,9.64,1:44.48,1,9.69,1:44.20,5,9.60,1:44.59
3,9.39,1:53.78,6,9.50,1:54.20,2,9.49,1:53.77,4,9.47,1:53.95,1,9.50,1:53.70,5,9.47,1:54.06
2,9.38,2:03.16,6,9.39,2:03.59,3,9.51,2:03.28,4,9.43,2:03.38,1,9.35,2:03.05,5,9.42,2:03.48
2,9.48,2:12.64,6,9.48,2:13.07,3,9.46,2:12.74,4,9.44,2:12.82,1,9.50,2:12.55,5,9.44,2:12.92
1,9.40,2:22.04,6,9.77,2:22.84,3,9.55,2:22.29,4,9.62,2:22.44,2,9.69,2:22.24,5,9.59,2:22.51
1,9.52,2:31.552,6,10.51,2:33.349,2,9.46,2:31.759,3,9.70,2:32.138,5,10.56,2:32.794,4,9.71,2:32.215
