START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
5,9.76,9.76,3,9.54,9.54,1,9.40,9.40,4,9.64,9.64,6,9.85,,2,9.42,,7,9.93,9.93,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Rep.Heats,1
6,12.70,22.46,3,12.68,22.22,2,12.73,22.13,5,12.69,22.33,7,12.72,,4,12.82,,1,12.07,22.00,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Rep.Heats,1
6,11.17,33.63,1,11.05,33.27,2,11.30,33.43,5,11.24,33.57,7,11.26,,3,11.26,,4,11.54,33.54,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Rep.Heats,1
1,9.86,43.49,2,10.40,43.67,3,10.32,43.75,4,10.25,43.82,6,10.16,,5,10.33,,7,10.56,44.10,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Rep.Heats,1
1,10.20,53.69,2,10.11,53.78,7,19.03,1:02.78,6,10.39,54.21,5,10.04,,3,10.08,,4,9.92,54.02,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Rep.Heats,1
1,10.35,1:04.04,2,10.36,1:04.14,7,11.72,1:14.50,3,9.98,1:04.19,5,10.33,,4,10.34,,6,10.44,1:04.46,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Rep.Heats,1
4,9.94,1:13.98,2,9.77,1:13.91,7,10.16,1:24.66,1,9.67,1:13.86,5,9.79,,3,9.72,,6,9.84,1:14.30,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Rep.Heats,1
5,10.44,1:24.42,1,10.21,1:24.12,7,10.17,1:34.83,2,10.29,1:24.15,6,10.39,,3,10.29,,4,9.99,1:24.29,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Rep.Heats,1
3,9.81,1:34.23,1,9.97,1:34.09,7,9.97,1:44.80,2,10.02,1:34.17,5,10.12,,3,9.97,,6,10.39,1:34.68,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Rep.Heats,1
3,9.95,1:44.18,1,9.88,1:43.97,7,9.61,1:54.41,2,9.91,1:44.08,5,9.77,,4,10.08,,6,10.23,1:44.91,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Rep.Heats,1
2,9.55,1:53.73,1,9.67,1:53.64,7,9.62,2:04.03,4,9.76,1:53.84,5,9.59,,3,9.51,,6,10.30,1:55.21,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Rep.Heats,1
2,9.37,2:03.10,1,9.38,2:03.02,7,9.76,2:13.79,4,9.51,2:03.35,5,9.42,,3,9.41,,6,10.85,2:06.06,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Rep.Heats,1
2,9.29,2:12.39,1,9.33,2:12.35,7,10.04,2:23.83,4,9.25,2:12.60,5,9.19,,3,9.26,,6,11.23,2:17.29,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Rep.Heats,1
2,9.41,2:21.785,1,9.31,2:21.646,5,10.21,2:34.027,3,11.14,2:23.711,4,9.76,,3,9.47,,4,11.41,2:28.684,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Rep.Heats,1
