START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
1,9.68,9.68,7,10.71,10.71,3,10.00,10.00,5,10.30,10.30,2,9.86,9.86,6,10.49,10.49,4,10.10,10.10,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,6
1,12.92,22.60,7,12.59,23.30,1,12.60,22.60,5,12.71,23.01,3,12.88,22.74,6,12.65,23.14,4,12.82,22.92,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,6
2,11.59,34.19,7,11.32,34.62,1,11.47,34.07,4,11.28,34.29,3,11.49,34.23,6,11.28,34.42,5,11.41,34.33,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,6
2,12.14,46.33,6,11.90,46.52,1,12.14,46.21,5,12.19,46.48,3,12.17,46.40,7,12.15,46.57,3,12.07,46.40,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,6
6,11.81,58.14,3,11.23,57.75,2,11.42,57.63,5,11.51,57.99,4,11.47,57.87,7,11.67,58.24,1,11.11,57.51,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,6
6,11.04,1:09.18,2,11.02,1:08.77,3,11.15,1:08.78,5,11.04,1:09.03,4,11.05,1:08.92,7,11.04,1:09.28,1,11.14,1:08.65,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,6
6,10.67,1:19.85,1,10.47,1:19.24,3,10.72,1:19.50,5,10.66,1:19.69,4,10.69,1:19.61,7,10.67,1:19.95,2,10.72,1:19.37,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,6
6,10.02,1:29.87,1,10.04,1:29.28,3,9.99,1:29.49,5,10.03,1:29.72,4,9.97,1:29.58,7,10.04,1:29.99,2,10.00,1:29.37,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,6
6,9.71,1:39.58,1,9.74,1:39.02,4,9.75,1:39.24,5,9.67,1:39.39,3,9.64,1:39.22,7,9.68,1:39.67,2,9.76,1:39.13,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,6
7,9.68,1:49.26,1,9.43,1:48.45,4,9.56,1:48.80,5,9.55,1:48.94,3,9.46,1:48.68,6,9.37,1:49.04,2,9.43,1:48.56,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,6
7,9.62,1:58.88,1,9.31,1:57.76,4,9.26,1:58.06,5,9.35,1:58.29,3,9.28,1:57.96,6,9.37,1:58.41,2,9.31,1:57.87,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,6
7,9.89,2:08.77,1,9.09,2:06.85,4,9.12,2:07.18,5,9.36,2:07.65,2,9.00,2:06.96,6,9.34,2:07.75,2,9.09,2:06.96,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,6
7,10.34,2:19.11,1,8.95,2:15.80,4,9.15,2:16.33,5,9.68,2:17.33,2,8.85,2:15.81,6,9.70,2:17.45,3,9.19,2:16.15,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,6
7,10.83,2:29.921,2,9.06,2:24.847,4,9.26,2:25.577,5,10.06,2:27.377,1,8.80,2:24.604,6,10.04,2:27.479,3,9.10,2:25.242,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Preliminaries,6
