KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,Jamie MACDONALD POSITION,Jamie MACDONALD LAP TIME,Jamie MACDONALD ELAPSED TIME
3,10.78,10.78,7,11.29,11.29,8,11.45,11.45,4,10.95,10.95,2,10.77,10.77,6,11.12,11.12,5,10.96,10.96,1,10.59,10.59
2,14.79,25.57,7,14.98,26.27,8,15.01,26.46,5,15.09,26.04,4,15.14,25.91,6,15.04,26.16,1,14.47,25.43,3,15.16,25.75
2,14.93,40.50,7,14.78,41.05,8,14.81,41.27,3,14.54,40.58,5,14.90,40.81,6,14.78,40.94,1,14.97,40.40,4,14.93,40.68
3,13.77,54.27,7,13.58,54.63,8,13.54,54.81,1,13.38,53.96,5,13.57,54.38,4,13.36,54.30,2,13.76,54.16,6,13.76,54.44
4,11.19,1:05.46,7,11.09,1:05.72,8,11.06,1:05.87,2,11.26,1:05.22,5,11.15,1:05.53,1,10.79,1:05.09,3,11.18,1:05.34,6,11.12,1:05.56
4,10.62,1:16.08,7,10.66,1:16.38,8,10.63,1:16.50,6,11.03,1:16.25,2,10.48,1:16.01,2,10.92,1:16.01,5,10.79,1:16.13,1,10.37,1:15.93
5,10.42,1:26.50,7,10.34,1:26.72,8,10.35,1:26.85,4,10.20,1:26.45,1,10.11,1:26.12,3,10.37,1:26.38,6,10.50,1:26.63,2,10.43,1:26.36
4,9.89,1:36.39,6,9.76,1:36.48,8,9.79,1:36.64,5,10.00,1:36.45,1,9.94,1:36.06,2,9.77,1:36.15,7,9.89,1:36.52,3,9.91,1:36.27
5,9.58,1:45.97,2,9.25,1:45.73,6,9.46,1:46.10,8,9.68,1:46.13,3,9.71,1:45.77,1,9.48,1:45.63,7,9.59,1:46.11,4,9.55,1:45.82
5,9.20,1:55.17,1,9.03,1:54.76,6,9.22,1:55.32,8,9.34,1:55.47,3,9.29,1:55.06,2,9.27,1:54.90,6,9.21,1:55.32,4,9.25,1:55.07
6,9.28,2:04.45,1,9.13,2:03.89,5,9.03,2:04.35,8,9.26,2:04.73,4,9.16,2:04.22,2,9.10,2:04.00,7,9.17,2:04.49,3,9.08,2:04.15
7,9.68,2:14.13,1,9.25,2:13.14,4,9.14,2:13.49,8,9.47,2:14.20,5,9.50,2:13.72,2,9.22,2:13.22,6,9.25,2:13.74,3,9.24,2:13.39
7,9.99,2:24.12,1,9.25,2:22.39,4,9.31,2:22.80,8,9.99,2:24.19,6,9.75,2:23.47,2,9.25,2:22.47,5,9.40,2:23.14,3,9.28,2:22.67
7,10.30,2:34.412,1,9.41,2:31.788,4,9.72,2:32.514,8,10.39,2:34.567,6,10.01,2:33.462,2,9.40,2:31.854,5,9.60,2:32.730,3,9.55,2:32.207
