FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME,NETHERLANDS POSITION,NETHERLANDS LAP TIME,NETHERLANDS ELAPSED TIME
3,13.06,13.06,2,12.74,12.74,1,12.34,12.34
3,9.13,22.19,2,9.16,21.90,1,9.09,21.43
3,9.05,31.24,2,9.06,30.96,1,9.08,30.51
3,9.09,40.33,2,9.08,40.04,1,8.92,39.43
3,9.13,49.46,2,9.08,49.12,1,9.06,48.49
3,9.14,58.60,2,9.26,58.38,1,9.06,57.55
3,9.13,1:07.73,2,9.23,1:07.61,1,9.20,1:06.75
3,9.23,1:16.96,2,9.28,1:16.89,1,9.14,1:15.89
3,9.47,1:26.43,2,9.42,1:26.31,1,9.21,1:25.10
3,9.32,1:35.75,2,9.31,1:35.62,1,9.10,1:34.20
3,9.29,1:45.04,2,9.35,1:44.97,1,9.16,1:43.36
3,9.63,1:54.67,2,9.61,1:54.58,1,9.14,1:52.50
3,9.39,2:04.06,2,9.39,2:03.97,1,9.32,2:01.82
3,9.36,2:13.42,2,9.37,2:13.34,1,9.23,2:11.05
3,9.70,2:23.12,2,9.56,2:22.90,1,9.31,2:20.36
3,9.49,2:32.61,2,9.46,2:32.36,1,9.28,2:29.64
3,9.39,2:42.00,2,9.52,2:41.88,1,9.27,2:38.91
3,9.49,2:51.49,2,9.50,2:51.38,1,9.28,2:48.19
2,9.23,3:00.72,3,9.44,3:00.82,1,9.28,2:57.47
2,9.31,3:10.03,3,9.40,3:10.22,1,9.19,3:06.66
2,9.50,3:19.53,3,9.56,3:19.78,1,9.48,3:16.14
2,9.69,3:29.22,3,9.54,3:29.32,1,9.42,3:25.56
3,9.62,3:38.84,2,9.44,3:38.76,1,9.36,3:34.92
3,9.61,3:48.45,2,9.61,3:48.37,1,9.25,3:44.17
3,9.62,3:58.07,2,9.66,3:58.03,1,9.35,3:53.52
3,9.55,4:07.62,2,9.47,4:07.50,1,9.37,4:02.89
2,9.51,4:17.13,3,9.80,4:17.30,1,9.86,4:12.75
