CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Cheyenne GOH POSITION,Cheyenne GOH LAP TIME,Cheyenne GOH ELAPSED TIME
2,9.81,9.81,1,9.65,9.65,3,9.92,9.92,6,10.25,10.25,4,9.94,9.94,5,10.06,10.06,7,10.30,10.30
3,13.55,23.36,1,13.43,23.08,2,13.17,23.09,6,13.45,23.70,5,13.57,23.51,4,13.42,23.48,7,13.52,23.82
3,10.93,34.29,2,11.03,34.11,1,10.82,33.91,6,10.98,34.68,5,11.05,34.56,4,10.95,34.43,7,10.94,34.76
3,10.83,45.12,2,10.82,44.93,1,10.71,44.62,6,10.73,45.41,5,10.76,45.32,4,10.78,45.21,7,10.74,45.50
3,10.90,56.02,2,10.84,55.77,1,10.69,55.31,6,10.91,56.32,5,10.89,56.21,4,10.92,56.13,7,10.94,56.44
3,10.42,1:06.44,2,10.44,1:06.21,1,10.72,1:06.03,6,10.38,1:06.70,5,10.39,1:06.60,4,10.39,1:06.52,7,10.54,1:06.98
4,10.50,1:16.94,2,10.54,1:16.75,1,10.62,1:16.65,6,10.45,1:17.15,5,10.45,1:17.05,3,10.31,1:16.83,7,10.34,1:17.32
4,10.29,1:27.23,2,10.25,1:27.00,1,10.23,1:26.88,6,10.28,1:27.43,5,10.27,1:27.32,3,10.27,1:27.10,7,10.31,1:27.63
4,10.09,1:37.32,1,10.05,1:37.05,2,10.22,1:37.10,6,10.11,1:37.54,5,10.10,1:37.42,3,10.08,1:37.18,7,10.27,1:37.90
3,9.92,1:47.24,1,9.93,1:46.98,4,10.15,1:47.25,6,9.91,1:47.45,5,9.94,1:47.36,2,9.83,1:47.01,7,10.60,1:48.50
2,9.61,1:56.85,2,9.87,1:56.85,6,10.30,1:57.55,5,9.65,1:57.10,4,9.65,1:57.01,1,9.73,1:56.74,7,11.22,1:59.72
1,9.39,2:06.24,3,9.68,2:06.53,6,10.70,2:08.25,5,9.59,2:06.69,4,9.56,2:06.57,2,9.78,2:06.52,7,11.79,2:11.51
1,9.36,2:15.60,7,23.00,2:29.53,5,11.06,2:19.31,4,9.73,2:16.42,3,9.80,2:16.37,2,9.76,2:16.28,6,12.17,2:23.68
1,9.71,2:25.317,7,16.76,2:46.299,5,11.46,2:30.778,4,10.02,2:26.447,3,10.03,2:26.403,2,10.05,2:26.330,6,12.43,2:36.110
