START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,11.83,11.83,4,12.25,12.25,5,12.43,12.43,1,11.50,11.50,3,12.04,12.04,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,10
3,15.75,27.58,5,15.64,27.89,1,14.84,27.27,2,15.87,27.37,4,15.68,27.72,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,10
5,13.17,40.75,4,12.84,40.73,1,12.75,40.02,2,12.79,40.16,3,12.68,40.40,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,10
5,10.85,51.60,4,10.70,51.43,1,10.97,50.99,2,10.95,51.11,3,10.83,51.23,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,10
5,10.18,1:01.78,4,10.20,1:01.63,1,10.36,1:01.35,2,10.34,1:01.45,3,10.31,1:01.54,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,10
5,10.21,1:11.99,4,10.24,1:11.87,1,10.14,1:11.49,2,10.16,1:11.61,3,10.19,1:11.73,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,10
5,10.08,1:22.07,4,10.09,1:21.96,1,10.15,1:21.64,2,10.11,1:21.72,3,10.09,1:21.82,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,10
5,10.29,1:32.36,4,10.24,1:32.20,1,10.21,1:31.85,2,10.23,1:31.95,3,10.23,1:32.05,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,10
5,10.05,1:42.41,4,10.09,1:42.29,1,10.08,1:41.93,2,10.07,1:42.02,3,10.08,1:42.13,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,10
3,9.23,1:51.64,2,9.26,1:51.55,1,9.60,1:51.53,3,9.62,1:51.64,5,9.61,1:51.74,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,10
2,8.99,2:00.63,1,9.00,2:00.55,3,9.23,2:00.76,5,9.37,2:01.01,4,9.03,2:00.77,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,10
2,9.17,2:09.80,1,9.16,2:09.71,4,9.32,2:10.08,5,10.07,2:11.08,3,9.17,2:09.94,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,10
2,9.15,2:18.95,1,9.14,2:18.85,4,9.18,2:19.26,5,10.50,2:21.58,3,9.26,2:19.20,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,10
2,9.06,2:27.999,1,9.01,2:27.851,4,9.55,2:28.800,5,11.08,2:32.636,3,9.51,2:28.695,2017-2018,Audi ISU World Cup 2017/18 - Seoul (KOR),1500m,m,Preliminaries,10
