Jack BURROWS POSITION,Jack BURROWS LAP TIME,Jack BURROWS ELAPSED TIME,Adam TIMAR POSITION,Adam TIMAR LAP TIME,Adam TIMAR ELAPSED TIME,Odin BY FARSTAD POSITION,Odin BY FARSTAD LAP TIME,Odin BY FARSTAD ELAPSED TIME,LUEDTKE Adrian POSITION,LUEDTKE Adrian LAP TIME,LUEDTKE Adrian ELAPSED TIME,FAJKUS Radek POSITION,FAJKUS Radek LAP TIME,FAJKUS Radek ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Aydin DJEMAL POSITION,Aydin DJEMAL LAP TIME,Aydin DJEMAL ELAPSED TIME
1,11.03,11.03,2,11.24,11.24,5,11.41,11.41,4,11.37,11.37,6,11.53,11.53,3,11.36,11.36,7,11.84,11.84
1,14.89,25.92,2,14.81,26.05,5,14.92,26.33,4,14.93,26.30,6,14.86,26.39,3,14.83,26.19,7,14.76,26.60
1,13.36,39.28,2,13.36,39.41,4,13.20,39.53,5,13.43,39.73,6,13.51,39.90,3,13.29,39.48,7,13.48,40.08
3,11.85,51.13,4,11.82,51.23,5,11.71,51.24,1,11.01,50.74,6,11.37,51.27,2,11.53,51.01,7,11.39,51.47
2,10.47,1:01.60,6,10.76,1:01.99,5,10.58,1:01.82,1,10.85,1:01.59,3,10.35,1:01.62,4,10.68,1:01.69,7,10.64,1:02.11
2,10.31,1:11.91,6,10.28,1:12.27,5,10.24,1:12.06,1,10.28,1:11.87,3,10.34,1:11.96,4,10.36,1:12.05,7,10.30,1:12.41
2,10.07,1:21.98,6,10.19,1:22.46,3,10.02,1:22.08,1,9.98,1:21.85,5,10.34,1:22.30,4,10.14,1:22.19,7,10.20,1:22.61
2,9.97,1:31.95,6,9.90,1:32.36,4,10.07,1:32.15,1,10.00,1:31.85,5,9.94,1:32.24,3,9.88,1:32.07,7,9.84,1:32.45
2,9.41,1:41.36,5,9.46,1:41.82,5,9.67,1:41.82,1,9.35,1:41.20,4,9.41,1:41.65,3,9.36,1:41.43,7,9.56,1:42.01
3,9.24,1:50.60,5,9.14,1:50.96,7,9.52,1:51.34,1,9.13,1:50.33,4,8.98,1:50.63,2,9.02,1:50.45,6,9.09,1:51.10
3,9.22,1:59.82,5,9.20,2:00.16,7,9.37,2:00.71,1,9.16,1:59.49,4,9.40,2:00.03,2,9.14,1:59.59,6,9.23,2:00.33
3,9.17,2:08.99,4,9.51,2:09.67,7,9.88,2:10.59,2,9.31,2:08.80,6,9.84,2:09.87,1,9.11,2:08.70,5,9.36,2:09.69
3,9.31,2:18.30,5,9.90,2:19.57,7,10.04,2:20.63,2,9.45,2:18.25,6,10.54,2:20.41,1,9.41,2:18.11,4,9.52,2:19.21
3,9.92,2:28.198,5,10.30,2:29.858,7,10.30,2:30.912,2,9.72,2:27.947,6,10.49,2:30.884,1,9.72,2:27.810,4,9.80,2:28.994
