START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
,,,4,9.00,9.00,6,9.28,9.28,1,8.49,8.49,2,8.68,8.68,5,9.13,9.13,3,8.84,8.84,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,11
,,,5,11.98,20.98,3,11.53,20.81,1,12.07,20.56,2,12.04,20.72,6,11.97,21.10,4,12.01,20.85,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,11
5,,,6,10.68,31.66,2,10.52,31.33,1,10.67,31.23,4,10.77,31.49,7,10.70,31.80,3,10.62,31.47,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,11
6,11.33,,3,10.98,42.64,2,11.18,42.51,1,11.15,42.38,7,11.45,42.94,4,10.91,42.71,5,11.29,42.76,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,11
7,11.56,,5,11.45,54.09,2,11.42,53.93,3,11.65,54.03,6,11.31,54.25,1,11.12,53.83,4,11.29,54.05,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,11
7,11.13,,6,11.25,1:05.34,3,11.10,1:05.03,4,11.12,1:05.15,5,10.95,1:05.20,2,11.10,1:04.93,1,10.62,1:04.67,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,11
7,10.64,,4,10.48,1:15.82,3,10.64,1:15.67,6,10.84,1:15.99,5,10.78,1:15.98,2,10.62,1:15.55,1,10.69,1:15.36,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,11
7,11.56,,5,10.01,1:25.83,3,9.87,1:25.54,4,9.68,1:25.67,6,10.17,1:26.15,2,9.88,1:25.43,1,9.89,1:25.25,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,11
7,12.38,,5,9.52,1:35.35,2,9.56,1:35.10,4,9.57,1:35.24,6,9.66,1:35.81,2,9.67,1:35.10,1,9.68,1:34.93,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,11
7,12.43,,5,9.63,1:44.98,2,9.59,1:44.69,4,9.63,1:44.87,6,10.01,1:45.82,3,9.67,1:44.77,1,9.64,1:44.57,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,11
7,12.85,,4,9.62,1:54.60,1,9.38,1:54.07,5,9.74,1:54.61,6,10.25,1:56.07,2,9.57,1:54.34,3,9.81,1:54.38,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,11
7,13.12,,3,9.48,2:04.08,1,9.42,2:03.49,5,10.35,2:04.96,6,10.84,2:06.91,2,9.47,2:03.81,4,10.41,2:04.79,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,11
7,13.08,,3,9.55,2:13.63,1,9.70,2:13.19,5,10.38,2:15.34,6,11.47,2:18.38,2,9.75,2:13.56,4,10.32,2:15.11,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,11
7,13.57,,2,9.93,2:23.56,1,10.02,2:23.21,5,10.85,2:26.19,6,11.36,2:29.74,3,10.30,2:23.86,4,10.64,2:25.75,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,11
