START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,11.19,11.19,1,10.79,10.79,5,11.85,11.85,6,11.98,11.98,2,10.95,10.95,4,11.64,11.64,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,7
3,15.70,26.89,1,15.83,26.62,5,15.45,27.30,6,15.48,27.46,2,15.79,26.74,4,15.49,27.13,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,7
3,15.46,42.35,1,15.47,42.09,5,15.40,42.70,6,15.38,42.84,2,15.49,42.23,4,15.38,42.51,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,7
3,14.90,57.25,1,14.87,56.96,5,14.91,57.61,6,14.90,57.74,2,14.87,57.10,4,14.94,57.45,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,7
3,13.08,1:10.33,1,13.11,1:10.07,5,13.08,1:10.69,6,13.09,1:10.83,2,13.08,1:10.18,4,13.12,1:10.57,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,7
3,12.43,1:22.76,1,12.48,1:22.55,5,12.33,1:23.02,6,12.32,1:23.15,2,12.47,1:22.65,4,12.32,1:22.89,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,7
3,12.68,1:35.44,1,12.62,1:35.17,5,12.70,1:35.72,6,12.75,1:35.90,2,12.63,1:35.28,4,12.70,1:35.59,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,7
2,11.74,1:47.18,1,11.88,1:47.05,5,11.75,1:47.47,6,11.78,1:47.68,3,11.96,1:47.24,4,11.75,1:47.34,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,7
2,10.56,1:57.74,1,10.50,1:57.55,4,10.34,1:57.81,6,11.34,1:59.02,3,10.55,1:57.79,5,10.49,1:57.83,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,7
4,10.19,2:07.93,2,9.87,2:07.42,3,9.95,2:07.76,5,11.80,2:10.82,6,26.73,2:24.52,1,9.56,2:07.39,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,7
4,10.38,2:18.31,2,9.83,2:17.25,3,9.59,2:17.35,5,12.47,2:23.29,6,12.08,2:36.60,1,9.77,2:17.16,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,7
4,11.36,2:29.67,2,9.92,2:27.17,3,9.90,2:27.25,5,14.08,2:37.37,6,11.73,2:48.33,1,9.85,2:27.01,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,7
4,12.37,2:42.04,2,10.09,2:37.26,3,10.10,2:37.35,5,14.09,2:51.46,6,12.14,3:00.47,1,10.09,2:37.10,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,7
4,13.23,2:55.27,2,10.41,2:47.67,3,10.39,2:47.74,5,15.61,3:07.07,6,19.66,3:20.13,1,10.49,2:47.59,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,7
