TURKEY POSITION,TURKEY LAP TIME,TURKEY ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,BELARUS POSITION,BELARUS LAP TIME,BELARUS ELAPSED TIME,ITALY POSITION,ITALY LAP TIME,ITALY ELAPSED TIME
4,12.83,12.83,2,12.55,12.55,1,12.29,12.29,3,12.67,12.67
4,9.07,21.90,2,9.01,21.56,1,9.00,21.29,3,9.03,21.70
4,9.00,30.90,2,9.11,30.67,1,9.29,30.58,3,9.07,30.77
4,9.40,40.30,2,9.41,40.08,1,9.30,39.88,3,9.43,40.20
4,9.11,49.41,2,9.01,49.09,1,9.04,48.92,3,9.07,49.27
4,8.96,58.37,2,9.04,58.13,1,9.13,58.05,3,8.97,58.24
4,9.05,1:07.42,2,9.11,1:07.24,1,9.09,1:07.14,3,9.08,1:07.32
4,9.10,1:16.52,2,9.12,1:16.36,1,9.04,1:16.18,3,9.11,1:16.43
3,9.13,1:25.65,2,9.21,1:25.57,1,9.32,1:25.50,4,9.37,1:25.80
3,9.33,1:34.98,2,9.31,1:34.88,1,9.28,1:34.78,4,9.27,1:35.07
3,9.16,1:44.14,2,9.14,1:44.02,1,9.12,1:43.90,4,9.29,1:44.36
3,9.04,1:53.18,2,9.07,1:53.09,1,9.10,1:53.00,4,8.96,1:53.32
3,9.08,2:02.26,2,9.07,2:02.16,1,9.06,2:02.06,4,9.01,2:02.33
3,9.09,2:11.35,2,9.07,2:11.23,1,9.07,2:11.13,4,9.14,2:11.47
3,9.13,2:20.48,2,9.16,2:20.39,1,9.15,2:20.28,4,9.04,2:20.51
4,9.35,2:29.83,2,9.25,2:29.64,1,9.26,2:29.54,3,9.22,2:29.73
4,9.15,2:38.98,2,9.15,2:38.79,1,9.16,2:38.70,3,9.16,2:38.89
4,9.11,2:48.09,2,9.14,2:47.93,1,9.14,2:47.84,3,9.10,2:47.99
4,9.11,2:57.20,2,9.12,2:57.05,3,9.24,2:57.08,1,8.96,2:56.95
4,9.18,3:06.38,2,9.07,3:06.12,3,9.18,3:06.26,1,9.07,3:06.02
3,9.06,3:15.44,2,9.28,3:15.40,4,9.41,3:15.67,1,9.30,3:15.32
3,9.21,3:24.65,2,9.06,3:24.46,4,9.14,3:24.81,1,9.02,3:24.34
3,8.90,3:33.55,2,8.99,3:33.45,4,8.98,3:33.79,1,9.01,3:33.35
3,8.89,3:42.44,2,8.86,3:42.31,4,9.03,3:42.82,1,8.85,3:42.20
3,8.83,3:51.27,2,8.75,3:51.06,4,9.43,3:52.25,1,8.73,3:50.93
3,8.80,4:00.07,2,8.72,3:59.78,4,9.18,4:01.43,1,8.71,3:59.64
3,8.72,4:08.79,2,8.91,4:08.69,4,9.01,4:10.44,1,8.98,4:08.62
3,9.12,4:17.91,2,9.11,4:17.80,4,9.28,4:19.72,1,9.08,4:17.70
3,9.13,4:27.04,2,9.12,4:26.92,4,9.27,4:28.99,1,9.14,4:26.84
3,8.93,4:35.97,2,8.86,4:35.78,4,9.24,4:38.23,1,8.85,4:35.69
3,8.88,4:44.85,2,8.75,4:44.53,4,9.32,4:47.55,1,8.72,4:44.41
3,8.93,4:53.78,2,8.79,4:53.32,4,9.28,4:56.83,1,8.76,4:53.17
3,8.68,5:02.46,2,8.96,5:02.28,4,9.21,5:06.04,1,9.02,5:02.19
3,9.21,5:11.67,2,9.23,5:11.51,4,9.60,5:15.64,1,9.15,5:11.34
3,9.54,5:21.21,2,9.05,5:20.56,4,9.67,5:25.31,1,9.09,5:20.43
3,8.93,5:30.14,2,9.04,5:29.60,4,9.60,5:34.91,1,9.05,5:29.48
3,8.99,5:39.13,2,8.89,5:38.49,4,9.66,5:44.57,1,8.90,5:38.38
3,9.10,5:48.23,2,9.02,5:47.51,4,9.79,5:54.36,1,8.94,5:47.32
3,8.85,5:57.08,2,9.16,5:56.67,4,9.34,6:03.70,1,9.23,5:56.55
3,9.15,6:06.23,1,9.07,6:05.74,4,9.73,6:13.43,2,9.29,6:05.84
3,9.09,6:15.32,1,8.94,6:14.68,4,9.78,6:23.21,2,8.99,6:14.83
3,9.11,6:24.43,1,8.87,6:23.55,4,9.88,6:33.09,2,8.88,6:23.71
3,9.09,6:33.52,1,8.74,6:32.29,4,9.57,6:42.66,2,8.87,6:32.58
3,9.18,6:42.70,1,8.72,6:41.01,4,9.34,6:52.00,2,8.57,6:41.15
3,8.99,6:51.69,1,8.84,6:49.85,4,9.49,7:01.495,2,8.85,6:50.00
