Gloria IORIATTI POSITION,Gloria IORIATTI LAP TIME,Gloria IORIATTI ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME,Anita NAGAY POSITION,Anita NAGAY LAP TIME,Anita NAGAY ELAPSED TIME,MYKHALCHUK Diana POSITION,MYKHALCHUK Diana LAP TIME,MYKHALCHUK Diana ELAPSED TIME
1,10.99,10.99,4,11.47,11.47,2,11.14,11.14,5,11.55,11.55,3,11.29,11.29
1,17.09,28.08,4,17.10,28.57,2,17.10,28.24,5,17.17,28.72,3,17.08,28.37
1,16.56,44.64,4,16.55,45.12,2,16.54,44.78,5,16.60,45.32,3,16.60,44.97
1,16.24,1:00.88,4,16.23,1:01.35,2,16.24,1:01.02,5,16.21,1:01.53,3,16.20,1:01.17
1,15.51,1:16.39,4,15.49,1:16.84,2,15.49,1:16.51,5,15.44,1:16.97,3,15.48,1:16.65
1,13.98,1:30.37,4,13.89,1:30.73,2,13.97,1:30.48,5,13.88,1:30.85,3,13.93,1:30.58
1,12.93,1:43.30,5,12.94,1:43.67,2,12.92,1:43.40,4,12.80,1:43.65,3,12.91,1:43.49
1,10.52,1:53.82,4,10.50,1:54.17,2,10.51,1:53.91,4,10.52,1:54.17,3,10.57,1:54.06
1,9.76,2:03.58,4,9.71,2:03.88,2,9.81,2:03.72,5,9.83,2:04.00,3,9.78,2:03.84
1,9.87,2:13.45,3,9.69,2:13.57,2,9.82,2:13.54,5,9.70,2:13.70,4,9.82,2:13.66
1,9.73,2:23.18,2,9.64,2:23.21,3,9.81,2:23.35,5,9.93,2:23.63,4,9.88,2:23.54
1,9.76,2:32.94,2,9.82,2:33.03,3,9.83,2:33.18,5,10.06,2:33.69,4,9.91,2:33.45
1,9.96,2:42.90,2,9.95,2:42.98,3,9.99,2:43.17,5,10.08,2:43.77,4,10.20,2:43.65
1,10.13,2:53.03,2,10.11,2:53.09,3,10.11,2:53.285,4,10.69,2:54.465,5,11.02,2:54.670
