KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,CROATIA POSITION,CROATIA LAP TIME,CROATIA ELAPSED TIME,BELARUS POSITION,BELARUS LAP TIME,BELARUS ELAPSED TIME,JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME
1,12.64,12.64,2,12.80,12.80,3,12.95,12.95,4,13.04,13.04
1,9.17,21.81,2,9.26,22.06,3,9.25,22.20,4,9.30,22.34
1,9.14,30.95,3,9.32,31.38,2,9.17,31.37,4,9.17,31.51
1,9.13,40.08,4,9.53,40.91,2,9.23,40.60,3,9.31,40.82
1,9.19,49.27,4,9.39,50.30,2,9.48,50.08,3,9.29,50.11
1,8.65,57.92,4,9.10,59.40,3,9.17,59.25,2,8.99,59.10
1,8.29,1:06.21,4,8.62,1:08.02,3,8.57,1:07.82,2,8.59,1:07.69
1,8.35,1:14.56,4,8.83,1:16.85,3,8.60,1:16.42,2,8.59,1:16.28
1,8.22,1:22.78,4,8.83,1:25.68,3,8.50,1:24.92,2,8.52,1:24.80
1,8.51,1:31.29,4,8.96,1:34.64,3,8.61,1:33.53,2,8.62,1:33.42
1,8.85,1:40.14,4,9.45,1:44.09,2,9.04,1:42.57,3,9.37,1:42.79
1,9.15,1:49.29,4,9.79,1:53.88,2,9.53,1:52.10,3,9.46,1:52.25
1,9.48,1:58.77,4,9.75,2:03.63,2,9.47,2:01.57,3,9.43,2:01.68
1,9.34,2:08.11,4,9.45,2:13.08,2,9.64,2:11.21,3,9.63,2:11.31
1,9.15,2:17.26,4,9.44,2:22.52,2,9.06,2:20.27,3,9.09,2:20.40
1,9.04,2:26.30,4,9.27,2:31.79,3,8.87,2:29.14,2,8.72,2:29.12
1,8.95,2:35.25,4,8.88,2:40.67,3,8.73,2:37.87,2,8.61,2:37.73
1,9.10,2:44.35,4,8.59,2:49.267,3,8.60,2:46.47,2,8.63,2:46.36
