START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
4,9.12,,1,8.88,8.88,5,9.21,9.21,3,9.00,9.00,7,9.40,9.40,2,8.92,8.92,6,9.22,9.22,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,1
5,12.19,,2,12.15,21.03,6,12.29,21.50,3,12.14,21.14,7,12.21,21.61,1,12.02,20.94,4,11.99,21.21,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,1
1,10.66,,2,11.14,32.17,6,11.17,32.67,4,11.23,32.37,7,11.17,32.78,3,11.25,32.19,5,11.33,32.54,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,1
1,10.62,,2,10.53,42.70,6,10.15,42.82,3,10.36,42.73,7,10.17,42.95,3,10.54,42.73,5,10.22,42.76,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,1
3,9.90,,4,9.89,52.59,6,9.94,52.76,2,9.62,52.35,7,9.88,52.83,1,9.59,52.32,5,9.90,52.66,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,1
4,9.52,,3,9.38,1:01.97,6,9.50,1:02.26,2,9.57,1:01.92,7,9.54,1:02.37,1,9.44,1:01.76,5,9.47,1:02.13,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,1
5,9.71,,3,9.56,1:11.53,6,9.60,1:11.86,2,9.50,1:11.42,7,9.59,1:11.96,1,9.54,1:11.30,4,9.47,1:11.60,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,1
6,9.39,,3,9.35,1:20.88,5,9.24,1:21.10,2,9.36,1:20.78,7,9.32,1:21.28,1,9.41,1:20.71,4,9.40,1:21.00,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,1
5,9.14,,2,9.04,1:29.92,7,9.26,1:30.36,1,8.92,1:29.70,6,9.02,1:30.30,4,9.40,1:30.11,3,9.09,1:30.09,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,1
5,9.23,,2,8.86,1:38.78,6,9.22,1:39.58,1,9.06,1:38.76,4,8.89,1:39.19,7,9.53,1:39.64,3,8.86,1:38.95,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,1
6,9.52,,1,8.94,1:47.72,5,8.92,1:48.50,2,8.99,1:47.75,4,8.92,1:48.11,7,9.64,1:49.28,3,8.94,1:47.89,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,1
6,9.71,,2,9.16,1:56.88,5,9.26,1:57.76,1,8.93,1:56.68,4,9.06,1:57.17,7,9.93,1:59.21,3,9.09,1:56.98,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,1
6,10.17,,2,9.40,2:06.28,5,10.00,2:07.76,1,9.10,2:05.78,4,9.42,2:06.59,7,10.28,2:09.49,3,9.40,2:06.38,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,1
6,10.44,,3,9.82,2:16.10,5,10.85,2:18.61,1,9.45,2:15.23,4,10.02,2:16.61,6,10.43,2:19.923,2,9.44,2:15.82,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,1
