DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,LAHIMAKHAY Ivan POSITION,LAHIMAKHAY Ivan LAP TIME,LAHIMAKHAY Ivan ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME,Ryan McANUFF POSITION,Ryan McANUFF LAP TIME,Ryan McANUFF ELAPSED TIME
4,11.61,11.61,6,12.08,12.08,5,11.80,11.80,3,11.39,11.39,2,11.22,11.22,1,11.01,11.01
4,14.33,25.94,6,14.24,26.32,5,14.31,26.11,3,14.37,25.76,2,14.40,25.62,1,14.40,25.41
4,13.54,39.48,6,13.44,39.76,5,13.51,39.62,2,13.43,39.19,3,13.59,39.21,1,13.66,39.07
4,13.50,52.98,6,13.57,53.33,5,13.50,53.12,1,13.45,52.64,3,13.61,52.82,2,13.65,52.72
4,12.44,1:05.42,6,12.48,1:05.81,5,12.42,1:05.54,1,12.32,1:04.96,2,12.28,1:05.10,3,12.50,1:05.22
4,11.44,1:16.86,6,11.36,1:17.17,5,11.43,1:16.97,1,11.47,1:16.43,2,11.45,1:16.55,3,11.45,1:16.67
4,10.63,1:27.49,6,10.54,1:27.71,5,10.63,1:27.60,1,10.64,1:27.07,2,10.63,1:27.18,3,10.67,1:27.34
4,9.64,1:37.13,6,9.56,1:37.27,5,9.63,1:37.23,1,9.73,1:36.80,2,9.74,1:36.92,3,9.71,1:37.05
6,9.35,1:46.48,3,9.02,1:46.29,5,9.21,1:46.44,1,9.34,1:46.14,2,9.35,1:46.27,4,9.37,1:46.42
3,9.00,1:55.48,1,9.12,1:55.41,5,9.24,1:55.68,2,9.31,1:55.45,4,9.34,1:55.61,6,9.40,1:55.82
1,9.07,2:04.55,2,9.27,2:04.68,5,9.30,2:04.98,3,9.37,2:04.82,4,9.29,2:04.90,6,9.32,2:05.14
1,9.40,2:13.95,2,9.37,2:14.05,5,9.37,2:14.35,3,9.32,2:14.14,4,9.32,2:14.22,6,9.45,2:14.59
1,9.38,2:23.33,2,9.35,2:23.40,5,9.63,2:23.98,4,9.80,2:23.94,3,9.36,2:23.58,6,9.58,2:24.17
0,9.40,2:32.73,1,9.23,2:32.63,6,10.36,2:34.34,4,9.82,2:33.76,0,9.17,2:32.75,5,9.66,2:33.83
