START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
1,12.79,12.79,2,12.88,12.88,3,13.00,13.00,4,13.15,13.15,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,Repechage,1
1,9.40,22.19,2,9.40,22.28,3,9.41,22.41,4,9.56,22.71,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,Repechage,1
1,9.43,31.62,2,9.42,31.70,3,9.50,31.91,4,9.83,32.54,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,Repechage,1
1,9.42,41.04,3,9.40,41.10,2,9.14,41.05,4,9.41,41.95,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,Repechage,1
2,9.82,50.86,3,10.04,51.14,1,8.92,49.97,4,9.49,51.44,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,Repechage,1
2,8.86,59.72,3,8.84,59.98,1,8.87,58.84,4,9.04,1:00.48,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,Repechage,1
2,8.40,1:08.12,3,8.24,1:08.22,1,8.62,1:07.46,4,8.68,1:09.16,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,Repechage,1
3,8.54,1:16.66,2,8.35,1:16.57,1,8.53,1:15.99,4,8.81,1:17.97,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,Repechage,1
2,8.38,1:25.04,4,12.05,1:28.62,1,8.30,1:24.29,3,8.77,1:26.74,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,Repechage,1
2,8.61,1:33.65,4,14.61,1:43.23,1,8.45,1:32.74,3,8.89,1:35.63,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,Repechage,1
2,9.08,1:42.73,4,14.27,1:57.50,1,9.33,1:42.07,3,9.47,1:45.10,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,Repechage,1
2,9.23,1:51.96,4,10.54,2:08.04,1,9.69,1:51.76,3,9.93,1:55.03,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,Repechage,1
2,9.42,2:01.38,4,10.31,2:18.35,1,9.34,2:01.10,3,9.78,2:04.81,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,Repechage,1
2,9.49,2:10.87,4,10.55,2:28.90,1,9.05,2:10.15,3,9.77,2:14.58,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,Repechage,1
2,8.76,2:19.63,4,10.35,2:39.25,1,8.86,2:19.01,3,9.37,2:23.95,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,Repechage,1
2,8.57,2:28.20,4,9.91,2:49.16,1,8.65,2:27.66,3,9.23,2:33.18,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,Repechage,1
2,8.47,2:36.67,4,10.28,2:59.44,1,8.46,2:36.12,3,8.98,2:42.16,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,Repechage,1
2,8.70,2:45.375,4,9.87,3:09.310,1,8.43,2:44.557,3,8.97,2:51.131,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,Repechage,1
